reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
ちゅうかみんこく	normal	8	中華民国	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうかん	terminal	5	中間,昼間	名	2	5	中央,児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうがえり	normal	6	宙返り	名	1	2	新阪本,阪本	3	七種対照,工藤,木幡	school-source-count-3	unreviewed
ちゅうがく	normal	5	中学	名	2	3	中央,国語研,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうがくせい	normal	7	中学生	名	1	4	国語研,新阪本,池原,阪本	2	七種対照,国語研		auto-selected
ちゅうがた	normal	5	中形・中型	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうがっこう	normal	7	中学校	名	1	4	中央,国語研,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうきゅう	normal	6	中級	名	2	1	国語研	2	国語研,工藤	school-source-count-3	unreviewed
ちゅうきょう	normal	6	中共	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうきん	terminal	5	忠勤	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぎ	normal	4	忠義	名	3	2	新阪本,阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうくう	normal	5	中空	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうけい	normal	5	中継	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうけん	terminal	5	中堅	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうげん	terminal	5	中元	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうこ	normal	4	中古	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうこう	normal	5	中興,忠孝	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
