reading	kind	characters	auto_rule_failures
あまぐ	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あまぐも	normal	4	school-source-count-3
あまごい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまざけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまざらし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまちゅあ	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
あまでら	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまとう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまどい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまなっとう	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまのじゃく	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまみず	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまもよう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまもり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまやどり	normal	5	school-source-count-3
あまよけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみあげぐつ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみがさ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみだ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみだな	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみど	normal	3	school-source-count-3
あみぼう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あみめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あめあがり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あめかぜ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あめつち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あめふり	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あめもよう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あめーば	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あやとり	normal	4	school-source-count-3
あやまち	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あやめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あゆ	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あらい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あらいこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
